processor,meanpower,benchmark,frequency,cpuid
p1,6.054588,namd,2133000,1
p1,6.168702,namd,2133000,1
p1,5.933308,namd,2133000,1
p1,5.396238,namd,1733000,1
p1,5.350237,namd,1733000,1
p1,5.374985,namd,1733000,1
p1,4.518551,namd,1199000,1
p1,4.594393,namd,1199000,1
p1,4.560752,namd,1199000,1
p1,8.012897,omnetpp,2533000,0
p1,6.184991,cpuload_all_50_4096,2133000,0
p1,7.996135,omnetpp,2533000,0
p1,7.884490,omnetpp,2533000,0
p1,6.556004,omnetpp,2133000,0
p1,6.616897,omnetpp,2133000,0
p1,6.543446,omnetpp,2133000,0
p1,5.595988,omnetpp,1733000,0
p1,5.630009,omnetpp,1733000,0
p1,5.617182,omnetpp,1733000,0
p1,4.668482,omnetpp,1199000,0
p1,4.692154,omnetpp,1199000,0
p1,6.156328,cpuload_all_50_4096,2133000,0
p1,4.692437,omnetpp,1199000,0
p1,7.812482,omnetpp,2533000,1
p1,7.850498,omnetpp,2533000,1
p1,7.807735,omnetpp,2533000,1
p1,6.512861,omnetpp,2133000,1
p1,6.533383,omnetpp,2133000,1
p1,6.515984,omnetpp,2133000,1
p1,5.558801,omnetpp,1733000,1
p1,5.610032,omnetpp,1733000,1
p1,5.612178,omnetpp,1733000,1
p1,5.464799,cpuload_all_50_4096,1733000,0
p1,4.798786,omnetpp,1199000,1
p1,4.773864,omnetpp,1199000,1
p1,4.813577,omnetpp,1199000,1
p1,6.693102,povray,2533000,0
p1,6.757011,povray,2533000,0
p1,6.893947,povray,2533000,0
p1,6.053913,povray,2133000,0
p1,5.862311,povray,2133000,0
p1,6.056741,povray,2133000,0
p1,5.076462,povray,1733000,0
p1,5.436113,cpuload_all_50_4096,1733000,0
p1,5.296442,povray,1733000,0
p1,5.032880,povray,1733000,0
p1,4.438435,povray,1199000,0
p1,4.563837,povray,1199000,0
p1,4.479808,povray,1199000,0
p1,6.572876,povray,2533000,1
p1,6.786938,povray,2533000,1
p1,6.995105,povray,2533000,1
p1,5.915063,povray,2133000,1
p1,5.814211,povray,2133000,1
p1,5.410239,cpuload_all_50_4096,1733000,0
p1,5.775260,povray,2133000,1
p1,5.391570,povray,1733000,1
p1,5.152379,povray,1733000,1
p1,5.342374,povray,1733000,1
p1,4.613804,povray,1199000,1
p1,4.521932,povray,1199000,1
p1,4.662929,povray,1199000,1
p1,7.550661,sjeng,2533000,0
p1,7.549944,sjeng,2533000,0
p1,7.565555,sjeng,2533000,0
p1,4.552876,cpuload_all_50_4096,1199000,0
p1,6.462362,sjeng,2133000,0
p1,6.489192,sjeng,2133000,0
p1,6.502295,sjeng,2133000,0
p1,5.616605,sjeng,1733000,0
p1,5.604410,sjeng,1733000,0
p1,5.606518,sjeng,1733000,0
p1,4.695374,sjeng,1199000,0
p1,4.692729,sjeng,1199000,0
p1,4.697471,sjeng,1199000,0
p1,7.524268,sjeng,2533000,1
p1,4.535080,cpuload_all_50_4096,1199000,0
p1,7.528705,sjeng,2533000,1
p1,7.549319,sjeng,2533000,1
p1,6.490119,sjeng,2133000,1
p1,6.457564,sjeng,2133000,1
p1,6.464012,sjeng,2133000,1
p1,5.732492,sjeng,1733000,1
p1,5.690288,sjeng,1733000,1
p1,5.712512,sjeng,1733000,1
p1,4.810806,sjeng,1199000,1
p1,4.804903,sjeng,1199000,1
p1,4.610057,cpuload_all_50_4096,1199000,0
p1,4.817711,sjeng,1199000,1
p1,6.109395,soplex,2533000,0
p1,6.270586,soplex,2533000,0
p1,6.590721,soplex,2533000,0
p1,5.736592,soplex,2133000,0
p1,5.751460,soplex,2133000,0
p1,5.504064,soplex,2133000,0
p1,4.937829,soplex,1733000,0
p1,5.152247,soplex,1733000,0
p1,5.086209,soplex,1733000,0
p1,7.048147,cpuload_all_50_4096,2533000,1
p1,4.319122,soplex,1199000,0
p1,4.264816,soplex,1199000,0
p1,4.324712,soplex,1199000,0
p1,6.404688,soplex,2533000,1
p1,6.495103,soplex,2533000,1
p1,6.137693,soplex,2533000,1
p1,5.629738,soplex,2133000,1
p1,5.763554,soplex,2133000,1
p1,5.751472,soplex,2133000,1
p1,5.108479,soplex,1733000,1
p1,7.012887,cpuload_all_50_4096,2533000,1
p1,5.033805,soplex,1733000,1
p1,5.142141,soplex,1733000,1
p1,4.447336,soplex,1199000,1
p1,4.561792,soplex,1199000,1
p1,4.495249,soplex,1199000,1
p1,6.917542,sphinx3,2533000,0
p1,6.554045,sphinx3,2533000,0
p1,6.643631,sphinx3,2533000,0
p1,5.947679,sphinx3,2133000,0
p1,6.160829,sphinx3,2133000,0
p1,7.147269,cpuload_all_50_4096,2533000,1
p1,5.874515,sphinx3,2133000,0
p1,5.237006,sphinx3,1733000,0
p1,5.222622,sphinx3,1733000,0
p1,5.263053,sphinx3,1733000,0
p1,4.419383,sphinx3,1199000,0
p1,4.415336,sphinx3,1199000,0
p1,4.554036,sphinx3,1199000,0
p1,7.106266,sphinx3,2533000,1
p1,6.762935,sphinx3,2533000,1
p1,6.784459,sphinx3,2533000,1
p1,6.179207,cpuload_all_50_4096,2133000,1
p1,6.021488,sphinx3,2133000,1
p1,5.936309,sphinx3,2133000,1
p1,6.051072,sphinx3,2133000,1
p1,5.440961,sphinx3,1733000,1
p1,5.260541,sphinx3,1733000,1
p1,5.467814,sphinx3,1733000,1
p1,4.569128,sphinx3,1199000,1
p1,4.703785,sphinx3,1199000,1
p1,4.556264,sphinx3,1199000,1
p1,7.168048,zeusmp,2533000,0
p1,6.168021,cpuload_all_50_4096,2133000,1
p1,7.093960,zeusmp,2533000,0
p1,7.157715,zeusmp,2533000,0
p1,6.275074,zeusmp,2133000,0
p1,6.247166,zeusmp,2133000,0
p1,6.263418,zeusmp,2133000,0
p1,5.482904,zeusmp,1733000,0
p1,5.515964,zeusmp,1733000,0
p1,5.450458,zeusmp,1733000,0
p1,4.629340,zeusmp,1199000,0
p1,4.648817,zeusmp,1199000,0
p1,6.171757,cpuload_all_50_4096,2133000,1
p1,4.620487,zeusmp,1199000,0
p1,7.182846,zeusmp,2533000,1
p1,7.106384,zeusmp,2533000,1
p1,7.043764,zeusmp,2533000,1
p1,6.246131,zeusmp,2133000,1
p1,6.233096,zeusmp,2133000,1
p1,6.297902,zeusmp,2133000,1
p1,5.555971,zeusmp,1733000,1
p1,5.598505,zeusmp,1733000,1
p1,5.567507,zeusmp,1733000,1
p1,5.494715,cpuload_all_50_4096,1733000,1
p1,4.734995,zeusmp,1199000,1
p1,4.760881,zeusmp,1199000,1
p1,4.779051,zeusmp,1199000,1
p1,7.451816,bzip2,2533000,0
p1,7.487045,bzip2,2533000,0
p1,7.380234,bzip2,2533000,0
p1,6.331873,bzip2,2133000,0
p1,6.404149,bzip2,2133000,0
p1,6.351403,bzip2,2133000,0
p1,5.497384,bzip2,1733000,0
p1,5.479292,cpuload_all_50_4096,1733000,1
p1,5.510975,bzip2,1733000,0
p1,5.507619,bzip2,1733000,0
p1,4.655445,bzip2,1199000,0
p1,4.627256,bzip2,1199000,0
p1,4.632897,bzip2,1199000,0
p1,7.346820,bzip2,2533000,1
p1,7.504487,bzip2,2533000,1
p1,7.496681,bzip2,2533000,1
p1,6.325352,bzip2,2133000,1
p1,6.409070,bzip2,2133000,1
p1,5.568964,cpuload_all_50_4096,1733000,1
p1,6.340912,bzip2,2133000,1
p1,5.615465,bzip2,1733000,1
p1,5.607749,bzip2,1733000,1
p1,5.657040,bzip2,1733000,1
p1,4.771824,bzip2,1199000,1
p1,4.759465,bzip2,1199000,1
p1,4.796110,bzip2,1199000,1
p1,7.170256,cactusADM,2533000,0
p1,7.165660,cactusADM,2533000,0
p1,6.978948,cactusADM,2533000,0
p1,4.643568,cpuload_all_50_4096,1199000,1
p1,6.098283,cactusADM,2133000,0
p1,6.143039,cactusADM,2133000,0
p1,6.126104,cactusADM,2133000,0
p1,5.403895,cactusADM,1733000,0
p1,5.456380,cactusADM,1733000,0
p1,5.420357,cactusADM,1733000,0
p1,4.566391,cactusADM,1199000,0
p1,4.555657,cactusADM,1199000,0
p1,4.606176,cactusADM,1199000,0
p1,6.972612,cactusADM,2533000,1
p1,4.644317,cpuload_all_50_4096,1199000,1
p1,7.098136,cactusADM,2533000,1
p1,7.194188,cactusADM,2533000,1
p1,6.312324,cactusADM,2133000,1
p1,6.242171,cactusADM,2133000,1
p1,6.187713,cactusADM,2133000,1
p1,5.578983,cactusADM,1733000,1
p1,5.543930,cactusADM,1733000,1
p1,5.577186,cactusADM,1733000,1
p1,4.761386,cactusADM,1199000,1
p1,4.750059,cactusADM,1199000,1
p1,4.648125,cpuload_all_50_4096,1199000,1
p1,4.727331,cactusADM,1199000,1
p1,0.757565,cpuload_all_0_4096,2533000,0
p1,0.901997,cpuload_all_0_4096,2533000,0
p1,0.740010,cpuload_all_0_4096,2533000,0
p1,0.809661,cpuload_all_0_4096,2133000,0
p1,0.778533,cpuload_all_0_4096,2133000,0
p1,0.745850,cpuload_all_0_4096,2133000,0
p1,0.790352,cpuload_all_0_4096,1733000,0
p1,0.769557,cpuload_all_0_4096,1733000,0
p1,0.729699,cpuload_all_0_4096,1733000,0
p1,7.154393,cpuload_all_75_4096,2533000,0
p1,0.701003,cpuload_all_0_4096,1199000,0
p1,0.646180,cpuload_all_0_4096,1199000,0
p1,0.710139,cpuload_all_0_4096,1199000,0
p1,0.823405,cpuload_all_0_4096,2533000,1
p1,0.776203,cpuload_all_0_4096,2533000,1
p1,0.880324,cpuload_all_0_4096,2533000,1
p1,0.770271,cpuload_all_0_4096,2133000,1
p1,0.855371,cpuload_all_0_4096,2133000,1
p1,0.860172,cpuload_all_0_4096,2133000,1
p1,0.715277,cpuload_all_0_4096,1733000,1
p1,7.045469,cpuload_all_75_4096,2533000,0
p1,0.731947,cpuload_all_0_4096,1733000,1
p1,0.778875,cpuload_all_0_4096,1733000,1
p1,0.784647,cpuload_all_0_4096,1199000,1
p1,0.940300,cpuload_all_0_4096,1199000,1
p1,0.969057,cpuload_all_0_4096,1199000,1
p1,2.610456,cpuload_all_25_4096,2533000,0
p1,2.629393,cpuload_all_25_4096,2533000,0
p1,2.592080,cpuload_all_25_4096,2533000,0
p1,2.368639,cpuload_all_25_4096,2133000,0
p1,2.347721,cpuload_all_25_4096,2133000,0
p1,7.081794,cpuload_all_75_4096,2533000,0
p1,2.369008,cpuload_all_25_4096,2133000,0
p1,2.170850,cpuload_all_25_4096,1733000,0
p1,2.187700,cpuload_all_25_4096,1733000,0
p1,2.169334,cpuload_all_25_4096,1733000,0
p1,1.995794,cpuload_all_25_4096,1199000,0
p1,2.024416,cpuload_all_25_4096,1199000,0
p1,2.005713,cpuload_all_25_4096,1199000,0
p1,2.616114,cpuload_all_25_4096,2533000,1
p1,2.629432,cpuload_all_25_4096,2533000,1
p1,2.573401,cpuload_all_25_4096,2533000,1
p1,6.274067,cpuload_all_75_4096,2133000,0
p1,2.340639,cpuload_all_25_4096,2133000,1
p1,2.334513,cpuload_all_25_4096,2133000,1
p1,2.355372,cpuload_all_25_4096,2133000,1
p1,2.177150,cpuload_all_25_4096,1733000,1
p1,2.150997,cpuload_all_25_4096,1733000,1
p1,2.171347,cpuload_all_25_4096,1733000,1
p1,1.990444,cpuload_all_25_4096,1199000,1
p1,2.003146,cpuload_all_25_4096,1199000,1
p1,2.012580,cpuload_all_25_4096,1199000,1
p1,7.051749,cpuload_all_50_4096,2533000,0
p1,6.234613,cpuload_all_75_4096,2133000,0
p1,7.089267,cpuload_all_50_4096,2533000,0
p1,7.104610,cpuload_all_50_4096,2533000,0
p1,6.248358,cpuload_all_50_4096,2133000,0
p1,6.192728,cpuload_all_50_4096,2133000,0
p1,6.182963,cpuload_all_50_4096,2133000,0
p1,5.372532,cpuload_all_50_4096,1733000,0
p1,5.404963,cpuload_all_50_4096,1733000,0
p1,5.398304,cpuload_all_50_4096,1733000,0
p1,4.596589,cpuload_all_50_4096,1199000,0
p1,4.579096,cpuload_all_50_4096,1199000,0
p1,6.199017,cpuload_all_75_4096,2133000,0
p1,4.519778,cpuload_all_50_4096,1199000,0
p1,7.040613,cpuload_all_50_4096,2533000,1
p1,7.072137,cpuload_all_50_4096,2533000,1
p1,7.079440,cpuload_all_50_4096,2533000,1
p1,5.999708,cpuload_all_50_4096,2133000,1
p1,6.211818,cpuload_all_50_4096,2133000,1
p1,6.195115,cpuload_all_50_4096,2133000,1
p1,5.517328,cpuload_all_50_4096,1733000,1
p1,5.506055,cpuload_all_50_4096,1733000,1
p1,5.504528,cpuload_all_50_4096,1733000,1
p1,5.366127,cpuload_all_75_4096,1733000,0
p1,4.652970,cpuload_all_50_4096,1199000,1
p1,4.669598,cpuload_all_50_4096,1199000,1
p1,4.666228,cpuload_all_50_4096,1199000,1
p1,7.072537,cpuload_all_75_4096,2533000,0
p1,7.043999,cpuload_all_75_4096,2533000,0
p1,7.083700,cpuload_all_75_4096,2533000,0
p1,6.175679,cpuload_all_75_4096,2133000,0
p1,6.192874,cpuload_all_75_4096,2133000,0
p1,6.174849,cpuload_all_75_4096,2133000,0
p1,5.395843,cpuload_all_75_4096,1733000,0
p1,5.452204,cpuload_all_75_4096,1733000,0
p1,5.390319,cpuload_all_75_4096,1733000,0
p1,5.406462,cpuload_all_75_4096,1733000,0
p1,4.553489,cpuload_all_75_4096,1199000,0
p1,4.581027,cpuload_all_75_4096,1199000,0
p1,4.560125,cpuload_all_75_4096,1199000,0
p1,7.066292,cpuload_all_75_4096,2533000,1
p1,7.054933,cpuload_all_75_4096,2533000,1
p1,7.078831,cpuload_all_75_4096,2533000,1
p1,6.186979,cpuload_all_75_4096,2133000,1
p1,6.196897,cpuload_all_75_4096,2133000,1
p1,5.419530,cpuload_all_75_4096,1733000,0
p1,6.201036,cpuload_all_75_4096,2133000,1
p1,5.507220,cpuload_all_75_4096,1733000,1
p1,5.513977,cpuload_all_75_4096,1733000,1
p1,5.514773,cpuload_all_75_4096,1733000,1
p1,4.673456,cpuload_all_75_4096,1199000,1
p1,4.666935,cpuload_all_75_4096,1199000,1
p1,4.665087,cpuload_all_75_4096,1199000,1
p1,7.090820,cpuload_all_100_4096,2533000,0
p1,7.086372,cpuload_all_100_4096,2533000,0
p1,7.096715,cpuload_all_100_4096,2533000,0
p1,4.547251,cpuload_all_75_4096,1199000,0
p1,6.197248,cpuload_all_100_4096,2133000,0
p1,6.198943,cpuload_all_100_4096,2133000,0
p1,6.201587,cpuload_all_100_4096,2133000,0
p1,5.404947,cpuload_all_100_4096,1733000,0
p1,5.416471,cpuload_all_100_4096,1733000,0
p1,5.415273,cpuload_all_100_4096,1733000,0
p1,4.569183,cpuload_all_100_4096,1199000,0
p1,4.559325,cpuload_all_100_4096,1199000,0
p1,4.586461,cpuload_all_100_4096,1199000,0
p1,7.062837,cpuload_all_100_4096,2533000,1
p1,4.533927,cpuload_all_75_4096,1199000,0
p1,7.062552,cpuload_all_100_4096,2533000,1
p1,7.064909,cpuload_all_100_4096,2533000,1
p1,6.225398,cpuload_all_100_4096,2133000,1
p1,6.191985,cpuload_all_100_4096,2133000,1
p1,6.187552,cpuload_all_100_4096,2133000,1
p1,5.519980,cpuload_all_100_4096,1733000,1
p1,5.521278,cpuload_all_100_4096,1733000,1
p1,5.525456,cpuload_all_100_4096,1733000,1
p1,4.675795,cpuload_all_100_4096,1199000,1
p1,4.670104,cpuload_all_100_4096,1199000,1
p1,4.597021,cpuload_all_75_4096,1199000,0
p1,4.664792,cpuload_all_100_4096,1199000,1
p1,8.157098,gamess,2533000,0
p1,8.099629,gamess,2533000,0
p1,8.122932,gamess,2533000,0
p1,6.653020,gamess,2133000,0
p1,6.651594,gamess,2133000,0
p1,6.685322,gamess,2133000,0
p1,5.651978,gamess,1733000,0
p1,5.646459,gamess,1733000,0
p1,5.649114,gamess,1733000,0
p1,6.981300,cpuload_all_75_4096,2533000,1
p1,4.713070,gamess,1199000,0
p1,4.693035,gamess,1199000,0
p1,4.684810,gamess,1199000,0
p1,8.095747,gamess,2533000,1
p1,8.091684,gamess,2533000,1
p1,8.111003,gamess,2533000,1
p1,6.668545,gamess,2133000,1
p1,6.670029,gamess,2133000,1
p1,6.651458,gamess,2133000,1
p1,5.740524,gamess,1733000,1
p1,7.022184,cpuload_all_75_4096,2533000,1
p1,5.731296,gamess,1733000,1
p1,5.694317,gamess,1733000,1
p1,4.810379,gamess,1199000,1
p1,4.813509,gamess,1199000,1
p1,4.811340,gamess,1199000,1
p1,7.395859,gcc,2533000,0
p1,7.397167,gcc,2533000,0
p1,7.398783,gcc,2533000,0
p1,6.444419,gcc,2133000,0
p1,6.448252,gcc,2133000,0
p1,6.720881,cpuload_all_75_4096,2533000,1
p1,6.448061,gcc,2133000,0
p1,5.593764,gcc,1733000,0
p1,5.586390,gcc,1733000,0
p1,5.593365,gcc,1733000,0
p1,4.708700,gcc,1199000,0
p1,4.711186,gcc,1199000,0
p1,4.705519,gcc,1199000,0
p1,7.410904,gcc,2533000,1
p1,7.417557,gcc,2533000,1
p1,7.427895,gcc,2533000,1
p1,6.159058,cpuload_all_75_4096,2133000,1
p1,6.465884,gcc,2133000,1
p1,6.470800,gcc,2133000,1
p1,6.473590,gcc,2133000,1
p1,5.605932,gcc,1733000,1
p1,5.606668,gcc,1733000,1
p1,5.610217,gcc,1733000,1
p1,4.744196,gcc,1199000,1
p1,4.740263,gcc,1199000,1
p1,4.726929,gcc,1199000,1
p1,7.573360,gobmk,2533000,0
p1,6.157714,cpuload_all_75_4096,2133000,1
p1,7.587223,gobmk,2533000,0
p1,7.539697,gobmk,2533000,0
p1,6.447659,gobmk,2133000,0
p1,6.455211,gobmk,2133000,0
p1,6.446162,gobmk,2133000,0
p1,5.584590,gobmk,1733000,0
p1,5.560943,gobmk,1733000,0
p1,5.581879,gobmk,1733000,0
p1,4.680402,gobmk,1199000,0
p1,4.668110,gobmk,1199000,0
p1,6.186279,cpuload_all_75_4096,2133000,1
p1,4.681837,gobmk,1199000,0
p1,7.505741,gobmk,2533000,1
p1,7.544285,gobmk,2533000,1
p1,7.541051,gobmk,2533000,1
p1,6.451016,gobmk,2133000,1
p1,6.438838,gobmk,2133000,1
p1,6.462114,gobmk,2133000,1
p1,5.586154,gobmk,1733000,1
p1,5.572719,gobmk,1733000,1
p1,5.595973,gobmk,1733000,1
p1,5.515422,cpuload_all_75_4096,1733000,1
p1,4.726796,gobmk,1199000,1
p1,4.722837,gobmk,1199000,1
p1,4.692772,gobmk,1199000,1
p1,7.371059,gromacs,2533000,0
p1,7.367448,gromacs,2533000,0
p1,7.363439,gromacs,2533000,0
p1,6.431620,gromacs,2133000,0
p1,6.409606,gromacs,2133000,0
p1,6.417368,gromacs,2133000,0
p1,5.579813,gromacs,1733000,0
p1,5.470626,cpuload_all_75_4096,1733000,1
p1,5.559858,gromacs,1733000,0
p1,5.552557,gromacs,1733000,0
p1,4.687890,gromacs,1199000,0
p1,4.690725,gromacs,1199000,0
p1,4.686398,gromacs,1199000,0
p1,7.374815,gromacs,2533000,1
p1,7.340847,gromacs,2533000,1
p1,7.346634,gromacs,2533000,1
p1,6.412580,gromacs,2133000,1
p1,6.425931,gromacs,2133000,1
p1,5.486995,cpuload_all_75_4096,1733000,1
p1,6.395884,gromacs,2133000,1
p1,5.569475,gromacs,1733000,1
p1,5.571409,gromacs,1733000,1
p1,5.593955,gromacs,1733000,1
p1,4.776821,gromacs,1199000,1
p1,4.791883,gromacs,1199000,1
p1,4.791656,gromacs,1199000,1
p1,7.638230,h264ref,2533000,0
p1,7.649705,h264ref,2533000,0
p1,7.667748,h264ref,2533000,0
p1,4.709936,cpuload_all_75_4096,1199000,1
p1,6.521251,h264ref,2133000,0
p1,6.478445,h264ref,2133000,0
p1,6.469785,h264ref,2133000,0
p1,5.564680,h264ref,1733000,0
p1,5.571208,h264ref,1733000,0
p1,5.574473,h264ref,1733000,0
p1,4.689649,h264ref,1199000,0
p1,4.685754,h264ref,1199000,0
p1,4.677830,h264ref,1199000,0
p1,7.653624,h264ref,2533000,1
p1,4.653221,cpuload_all_75_4096,1199000,1
p1,7.672803,h264ref,2533000,1
p1,7.656325,h264ref,2533000,1
p1,6.470491,h264ref,2133000,1
p1,6.477796,h264ref,2133000,1
p1,6.467163,h264ref,2133000,1
p1,5.600949,h264ref,1733000,1
p1,5.596917,h264ref,1733000,1
p1,5.590532,h264ref,1733000,1
p1,4.692823,h264ref,1199000,1
p1,4.710524,h264ref,1199000,1
p1,4.653704,cpuload_all_75_4096,1199000,1
p1,4.687802,h264ref,1199000,1
p1,7.851812,hmmer,2533000,0
p1,7.971634,hmmer,2533000,0
p1,7.978137,hmmer,2533000,0
p1,6.623589,hmmer,2133000,0
p1,6.613633,hmmer,2133000,0
p1,6.572183,hmmer,2133000,0
p1,5.539348,hmmer,1733000,0
p1,5.574066,hmmer,1733000,0
p1,5.578951,hmmer,1733000,0
p1,7.065313,cpuload_all_100_4096,2533000,0
p1,4.664168,hmmer,1199000,0
p1,4.671283,hmmer,1199000,0
p1,4.675379,hmmer,1199000,0
p1,7.937051,hmmer,2533000,1
p1,8.009874,hmmer,2533000,1
p1,7.991923,hmmer,2533000,1
p1,6.592152,hmmer,2133000,1
p1,6.537510,hmmer,2133000,1
p1,6.513707,hmmer,2133000,1
p1,5.567450,hmmer,1733000,1
p1,7.150949,cpuload_all_100_4096,2533000,0
p1,5.563863,hmmer,1733000,1
p1,5.575713,hmmer,1733000,1
p1,4.652886,hmmer,1199000,1
p1,4.654485,hmmer,1199000,1
p1,4.662682,hmmer,1199000,1
p1,7.142330,lbm,2533000,0
p1,7.189904,lbm,2533000,0
p1,7.135083,lbm,2533000,0
p1,6.333849,lbm,2133000,0
p1,6.284655,lbm,2133000,0
p1,7.043443,cpuload_all_100_4096,2533000,0
p1,6.325274,lbm,2133000,0
p1,5.473942,lbm,1733000,0
p1,5.468606,lbm,1733000,0
p1,5.433995,lbm,1733000,0
p1,4.642242,lbm,1199000,0
p1,4.620951,lbm,1199000,0
p1,4.604566,lbm,1199000,0
p1,7.188644,lbm,2533000,1
p1,7.132509,lbm,2533000,1
p1,7.194170,lbm,2533000,1
p1,6.180740,cpuload_all_100_4096,2133000,0
p1,6.352996,lbm,2133000,1
p1,6.348269,lbm,2133000,1
p1,6.339934,lbm,2133000,1
p1,5.444438,lbm,1733000,1
p1,5.475287,lbm,1733000,1
p1,5.467870,lbm,1733000,1
p1,4.604334,lbm,1199000,1
p1,4.636862,lbm,1199000,1
p1,4.615935,lbm,1199000,1
p1,7.363881,leslie3d,2533000,0
p1,6.280515,cpuload_all_100_4096,2133000,0
p1,7.381968,leslie3d,2533000,0
p1,7.377833,leslie3d,2533000,0
p1,6.416458,leslie3d,2133000,0
p1,6.407606,leslie3d,2133000,0
p1,6.419199,leslie3d,2133000,0
p1,5.539396,leslie3d,1733000,0
p1,5.568293,leslie3d,1733000,0
p1,5.568239,leslie3d,1733000,0
p1,4.702500,leslie3d,1199000,0
p1,4.690761,leslie3d,1199000,0
p1,6.216597,cpuload_all_100_4096,2133000,0
p1,4.697601,leslie3d,1199000,0
p1,7.404502,leslie3d,2533000,1
p1,7.386024,leslie3d,2533000,1
p1,7.432685,leslie3d,2533000,1
