uri,primary_name_display,replaced
http://dx.doi.org/10.13039/501100009025,"Accelerated Innovation Research Initiative Turning Top Science and Ideas into High-Impact Values",
http://dx.doi.org/10.13039/100004672,"Accenture",
http://dx.doi.org/10.13039/100006486,"Acceptys",
http://dx.doi.org/10.13039/100007598,"Accident Compensation Corporation",
http://dx.doi.org/10.13039/501100001545,"Accounting and Finance Association of Australia and New Zealand",
http://dx.doi.org/10.13039/100009871,"AcelRx Pharmaceuticals",
http://dx.doi.org/10.13039/501100008025,"Acerde",
http://dx.doi.org/10.13039/501100002675,"Acharya N.G.Ranga Agricultural University",
http://dx.doi.org/10.13039/100001439,"Achelis Foundation",
http://dx.doi.org/10.13039/100009929,"Achelis and Bodman Foundation",
http://dx.doi.org/10.13039/100008227,"Achievement Rewards for College Scientists Foundation",
http://dx.doi.org/10.13039/501100007344,"Achmea",
http://dx.doi.org/10.13039/100005299,"Acoustical Society of America",
http://dx.doi.org/10.13039/501100006743,"Actavis Deutschland",
http://dx.doi.org/10.13039/100005646,"Actelion Pharmaceuticals",
http://dx.doi.org/10.13039/100010535,"Actinium Pharmaceuticals",
http://dx.doi.org/10.13039/501100000316,"Action Cancer",
http://dx.doi.org/10.13039/501100001266,"Action Duchenne",
http://dx.doi.org/10.13039/501100006672,"Action LIONS Vaincre le Cancer",
http://dx.doi.org/10.13039/501100000317,"Action Medical Research",
http://dx.doi.org/10.13039/501100008180,"Action for A-T",
http://dx.doi.org/10.13039/100006723,"Action for Boston Community Development",
http://dx.doi.org/10.13039/501100001982,"Action for M.E.",
http://dx.doi.org/10.13039/100009775,"Action on Addiction",
http://dx.doi.org/10.13039/501100000703,"Action on Hearing Loss",
http://dx.doi.org/10.13039/100003561,"Activities Integrating Math and Science Education Foundation",
http://dx.doi.org/10.13039/501100002677,"ActoGeniX",
http://dx.doi.org/10.13039/100007547,"Actualis",
http://dx.doi.org/10.13039/100007399,"Actuarial Foundation",
http://dx.doi.org/10.13039/501100001307,"Actuarial Profession",
http://dx.doi.org/10.13039/100006385,"Acxiom",
http://dx.doi.org/10.13039/501100003026,"Ad Hoc Software Pty",
http://dx.doi.org/10.13039/100004176,"Adam Taliaferro Foundation",
http://dx.doi.org/10.13039/501100007823,"Adamawa State University, Mubi",
http://dx.doi.org/10.13039/100011463,"Adams State University",
http://dx.doi.org/10.13039/501100007539,"Adams Super Center for Brain Studies,Tel Aviv University",
http://dx.doi.org/10.13039/501100009029,"Adaptable and Seamless Technology Transfer Program through Target-Driven R and D",
http://dx.doi.org/10.13039/501100002927,"Addenbrooke's Charitable Trust, Cambridge University Hospitals",
http://dx.doi.org/10.13039/501100007941,"Addis Ababa University",
http://dx.doi.org/10.13039/100004697,"Adecco",
http://dx.doi.org/10.13039/501100002678,"Adelaide Research and Innovation, University of Adelaide",
http://dx.doi.org/10.13039/501100008026,"Adelaide Tambo School of Nursing Science",
http://dx.doi.org/10.13039/100009401,"Adelphi University",
http://dx.doi.org/10.13039/100006386,"Adenoid Cystic Carcinoma Research Foundation",
http://dx.doi.org/10.13039/501100007356,"Adessium Foundation",
http://dx.doi.org/10.13039/100009957,"Adhesives and Sealant Council",
http://dx.doi.org/10.13039/501100002680,"Adivit",
http://dx.doi.org/10.13039/501100007814,"Adiyaman Üniversitesi",
http://dx.doi.org/10.13039/100007467,"Adler Foundation",
http://dx.doi.org/10.13039/501100003743,"Adlerbertska Stiftelserna",
http://dx.doi.org/10.13039/501100007365,"Admar Mutt Education Foundation",
http://dx.doi.org/10.13039/100005240,"Administration for Children and Families",
http://dx.doi.org/10.13039/100006307,"Administration for Community Living",
http://dx.doi.org/10.13039/100009337,"Administration for Native Americans",
http://dx.doi.org/10.13039/501100009003,"Administration of Quality and Technology Supervision of Guangdong Province",
http://dx.doi.org/10.13039/100008768,"Administrative Sciences Association of Canada",
http://dx.doi.org/10.13039/501100002679,"Adnan Menderes Üniversitesi",
http://dx.doi.org/10.13039/100004344,"Adobe Systems",
http://dx.doi.org/10.13039/501100007357,"Adolf H Lundin Charitable Foundation",
http://dx.doi.org/10.13039/100007247,"Adolph C. and Mary Sprague Miller Institute for Basic Research in Science, University of California Berkeley",
http://dx.doi.org/10.13039/100001840,"Adolph and Ruth Schnurmacher Foundation",
http://dx.doi.org/10.13039/501100003071,"Adolphe Merkle Foundation",
http://dx.doi.org/10.13039/100006387,"Adrienne Helis Malvin Medical Research Foundation",
http://dx.doi.org/10.13039/100007528,"Adtranz",
http://dx.doi.org/10.13039/501100008914,"Advance Queensland",
http://dx.doi.org/10.13039/100008416,"Advanced Cardiac Therapeutics",
http://dx.doi.org/10.13039/501100007179,"Advanced Centre for Treatment, Research and Education in Cancer",
http://dx.doi.org/10.13039/501100007742,"Advanced Centre of Research in High Energy Materials, University of Hyderabad",
http://dx.doi.org/10.13039/100010444,"Advanced Digital Sciences Center",
http://dx.doi.org/10.13039/100006388,"Advanced Fiber Technologies",
http://dx.doi.org/10.13039/100008164,"Advanced Foods and Materials Canada",
http://dx.doi.org/10.13039/100008165,"Advanced Foods and Materials Network",
http://dx.doi.org/10.13039/501100006674,"Advanced Information and Communication Technology Center, Sharif University of Technology",
http://dx.doi.org/10.13039/501100009027,"Advanced Low Carbon Technology Research and Development Program",
http://dx.doi.org/10.13039/501100006725,"Advanced Machining Technology and Development Association",
http://dx.doi.org/10.13039/501100007728,"Advanced Manufacturing Cooperative Research Centre",
http://dx.doi.org/10.13039/100001927,"Advanced Medical Research Foundation",
http://dx.doi.org/10.13039/100004311,"Advanced Micro Devices",
http://dx.doi.org/10.13039/100006389,"Advanced Photon Sciences",
http://dx.doi.org/10.13039/100009224,"Advanced Research Projects Agency",
http://dx.doi.org/10.13039/100006133,"Advanced Research Projects Agency - Energy",
http://dx.doi.org/10.13039/501100006265,"Advanced Science Institute",
http://dx.doi.org/10.13039/100006390,"Advatech Pacific",
http://dx.doi.org/10.13039/100005324,"Advertising Educational Foundation",
http://dx.doi.org/10.13039/100010832,"Aegis Foundation",
http://dx.doi.org/10.13039/501100002705,"Aegon",
http://dx.doi.org/10.13039/100009342,"Aeras Global Tuberculosis Vaccine Foundation",
http://dx.doi.org/10.13039/100006391,"AeroDynamic Solutions",
http://dx.doi.org/10.13039/501100006084,"Aeronautical Development Agency",
http://dx.doi.org/10.13039/501100004750,"Aeronautical Science Foundation of China",
http://dx.doi.org/10.13039/100007549,"Aeronautics Research and Development Board",
http://dx.doi.org/10.13039/501100007292,"Aerostatic Science Foundation",
http://dx.doi.org/10.13039/100007536,"Aesculap Implant Systems",
http://dx.doi.org/10.13039/100003559,"Aesthetic Surgery Education and Research Foundation",
http://dx.doi.org/10.13039/100003601,"Aetna",
http://dx.doi.org/10.13039/100000045,"Aetna Foundation",
http://dx.doi.org/10.13039/100003666,"Affiliated American CSA Foundation",
http://dx.doi.org/10.13039/100004743,"Affiliated Computer Services",
http://dx.doi.org/10.13039/100000940,"Aflac",
http://dx.doi.org/10.13039/501100002350,"Africagrowth Institute",
http://dx.doi.org/10.13039/501100007358,"African Capacity Building Foundation",
http://dx.doi.org/10.13039/100004424,"African Development Bank Group",
http://dx.doi.org/10.13039/501100002351,"African Federation for Emergency Medicine",
http://dx.doi.org/10.13039/100011323,"African Fellowship Trust",
http://dx.doi.org/10.13039/501100007689,"African Institute for Agrarian Studies",
http://dx.doi.org/10.13039/501100007114,"African Institute for Mathematical Sciences",
http://dx.doi.org/10.13039/501100007174,"African Laser Centre, Council for Scientific and Industrial Research",
http://dx.doi.org/10.13039/501100004967,"African Mathematics Millennium Science Initiative",
http://dx.doi.org/10.13039/100007548,"African Safari Club Of Florida Conservation Fund",
http://dx.doi.org/10.13039/501100005749,"African University of Science and Technology",
http://dx.doi.org/10.13039/100010723,"Afyon Kocatepe Üniversitesi",
http://dx.doi.org/10.13039/100011138,"AgBioResearch, Michigan State University",
http://dx.doi.org/10.13039/100007608,"AgResearch",
http://dx.doi.org/10.13039/100004698,"AgStar Financial Services, ACA",
http://dx.doi.org/10.13039/100004448,"Aga Khan Foundation",
http://dx.doi.org/10.13039/100009384,"Aga Khan Foundation Canada",
http://dx.doi.org/10.13039/501100003492,"Agda och Herman Järnhardts Stiftelse",
http://dx.doi.org/10.13039/100008742,"Age Endeavour Fellowship",
http://dx.doi.org/10.13039/501100000629,"Age UK",
http://dx.doi.org/10.13039/501100005905,"Agence Française de Lutte contre le Dopage",
http://dx.doi.org/10.13039/501100007545,"Agence Française de Sécurité Sanitaire de l'Environnement et du Travail",
http://dx.doi.org/10.13039/501100007542,"Agence Française de Sécurité Sanitaire des Produits de Santé",
http://dx.doi.org/10.13039/501100006676,"Agence Nationale Des Parcs Nationaux",
http://dx.doi.org/10.13039/501100003323,"Agence Nationale de Recherches sur le Sida et les Hepatites Virales",
http://dx.doi.org/10.13039/501100007546,"Agence Nationale de Sécurité Sanitaire de l’Alimentation, de l’Environnement et du Travail",
http://dx.doi.org/10.13039/501100007543,"Agence Nationale de Sécurité du Médicament et des Produits de Santé",
http://dx.doi.org/10.13039/501100001665,"Agence Nationale de la Recherche",
http://dx.doi.org/10.13039/501100006744,"Agence Nationale pour la Gestion des Déchets Radioactifs",
http://dx.doi.org/10.13039/501100008952,"Agence Nationale pour le Développement de la Recherche Universitaire",
http://dx.doi.org/10.13039/501100005304,"Agence Nationale pour le Développement de la Recherche en Santé",
http://dx.doi.org/10.13039/501100008014,"Agence Régionale de Santé de Champagne-Ardenne",
http://dx.doi.org/10.13039/501100005305,"Agence Thématique de Recherche en Sciences de la Santé",
http://dx.doi.org/10.13039/501100002708,"Agence Universitaire de la Francophonie",
http://dx.doi.org/10.13039/100007530,"Agence de l'Eau Adour-Garonne",
http://dx.doi.org/10.13039/501100007758,"Agence de l'Eau Rhône Méditerranée Corse",
http://dx.doi.org/10.13039/501100007755,"Agence de l'Eau Seine-Normandie",
http://dx.doi.org/10.13039/501100003031,"Agence de l'Environnement et de la Maîtrise de l'Energie",
http://dx.doi.org/10.13039/501100007756,"Agence de l'Oriental",
http://dx.doi.org/10.13039/501100006005,"Agence de la Biomédecine",
http://dx.doi.org/10.13039/501100007759,"Agence des Aires Marines Protégées",
http://dx.doi.org/10.13039/501100006542,"Agencia Antidroga de la Comunidad de Madrid",
http://dx.doi.org/10.13039/501100007757,"Agencia Canaria de Investigación, Innovación y Sociedad de la Información",
http://dx.doi.org/10.13039/100010145,"Agencia Córdoba Ciencia",
http://dx.doi.org/10.13039/501100004892,"Agencia Española de Cooperación Internacional para el Desarrollo",
http://dx.doi.org/10.13039/501100007761,"Agencia Española de Medicamentos y Productos Sanitarios",
http://dx.doi.org/10.13039/501100007752,"Agencia Laín Entralgo",
http://dx.doi.org/10.13039/100008725,"Agencia Nacional de Investigación e Innovación",
http://dx.doi.org/10.13039/501100003074,"Agencia Nacional de Promoción Científica y Tecnológica",
http://dx.doi.org/10.13039/501100007760,"Agencia de Cooperación Internacional de Las Illes Balears",
http://dx.doi.org/10.13039/501100006266,"Agencia de Desarrollo Económico",
http://dx.doi.org/10.13039/501100006461,"Agencia de Innovación y Desarrollo de Andalucía",
http://dx.doi.org/10.13039/501100005073,"Agency for Defense Development",
http://dx.doi.org/10.13039/100008417,"Agency for Health Care Policy and Research",
http://dx.doi.org/10.13039/100000133,"Agency for Healthcare Research and Quality",
http://dx.doi.org/10.13039/501100003087,"Agency for Natural Resources and Energy",
http://dx.doi.org/10.13039/501100001348,"Agency for Science, Technology and Research",
http://dx.doi.org/10.13039/100005220,"Agency for Toxic Substances and Disease Registry",
http://dx.doi.org/10.13039/501100003221,"Agentschap NL",
http://dx.doi.org/10.13039/501100003132,"Agentschap voor Innovatie door Wetenschap en Technologie",
http://dx.doi.org/10.13039/100008750,"Agentschap voor Natuur en Bos",
http://dx.doi.org/10.13039/501100003194,"Agentúra Ministerstva školstva, vedy, výskumu a športu SR",
http://dx.doi.org/10.13039/501100005357,"Agentúra na Podporu Výskumu a Vývoja",
http://dx.doi.org/10.13039/501100003197,"Agenzia Italiana del Farmaco, Ministero della Salute",
http://dx.doi.org/10.13039/501100007754,"Agenzia Regionale del Lazio per i Trapianti e le Patologie Connesse",
http://dx.doi.org/10.13039/501100007753,"Agenzia Regionale per i Parchi",
http://dx.doi.org/10.13039/501100006664,"Agenzia Sanitaria Regionale Abruzzo",
http://dx.doi.org/10.13039/501100003981,"Agenzia Spaziale Italiana",
http://dx.doi.org/10.13039/501100007801,"Agenzia di Ricerca per la Sclerosi Laterale Amiotrofica",
http://dx.doi.org/10.13039/501100008760,"Agenția Spațială Română",
http://dx.doi.org/10.13039/501100006663,"Agfa HealthCare",
http://dx.doi.org/10.13039/100000941,"Agilent Foundation",
http://dx.doi.org/10.13039/100004322,"Agilent Technologies",
http://dx.doi.org/10.13039/501100002709,"Agilent Technologies",R
http://dx.doi.org/10.13039/501100007183,"Agip KCO",
http://dx.doi.org/10.13039/501100007772,"Agir pour les Maladies Chroniques",
http://dx.doi.org/10.13039/501100007366,"Agnes och Mac Rudbergs Stiftelse",
http://dx.doi.org/10.13039/100009512,"Agnes og Poul Friis Fond",
http://dx.doi.org/10.13039/501100007484,"Agneta Prytz-Folkes och Gösta Folkes Stiftelse",
http://dx.doi.org/10.13039/100009344,"Agouron Institute",
http://dx.doi.org/10.13039/100006604,"Agouron Pharmaceuticals",
http://dx.doi.org/10.13039/501100002710,"Agram",
http://dx.doi.org/10.13039/100009610,"Agri-Food and Veterinary Authority",
http://dx.doi.org/10.13039/501100006661,"Agri-Futures Nova Scotia Association",
http://dx.doi.org/10.13039/501100008015,"Agria Djurförsäkring",
http://dx.doi.org/10.13039/501100004882,"Agricultural Adaptation Council",
http://dx.doi.org/10.13039/501100007605,"Agricultural Biotechnology Research Institute of Iran",
http://dx.doi.org/10.13039/100011499,"Agricultural Experiment Station, New Mexico State University",
http://dx.doi.org/10.13039/100005826,"Agricultural Marketing Service",
http://dx.doi.org/10.13039/100007537,"Agricultural Research Council",
http://dx.doi.org/10.13039/501100005076,"Agricultural Research Development Agency",
http://dx.doi.org/10.13039/100011141,"Agricultural Research Division, Institute of Agriculture and Natural Resources",
http://dx.doi.org/10.13039/100007917,"Agricultural Research Service",
http://dx.doi.org/10.13039/100009782,"Agricultural Technology Adoption Initiative",
http://dx.doi.org/10.13039/501100007834,"Agricultural University of Athens",
http://dx.doi.org/10.13039/501100008525,"Agricultural University of Hebei",
http://dx.doi.org/10.13039/100008770,"Agricultural and Applied Economics Association",
http://dx.doi.org/10.13039/100010712,"Agricultural and Horticultural Development Board",
http://dx.doi.org/10.13039/501100001507,"Agricultural and Marketing Research and Development Trust",
http://dx.doi.org/10.13039/501100000040,"Agriculture and Agri-Food Canada",
http://dx.doi.org/10.13039/100008123,"Agriculture and Horticulture Development Board",
http://dx.doi.org/10.13039/100009620,"Agriculture, Forestry and Fisheries Research Council",
http://dx.doi.org/10.13039/100007662,"Agrigenetics Research Associates",
http://dx.doi.org/10.13039/100010538,"Agrisearch",
http://dx.doi.org/10.13039/100010895,"Agrium",
http://dx.doi.org/10.13039/501100003201,"Agro-Biotechnology Institute",
http://dx.doi.org/10.13039/100007541,"Agro-Industry R and D Special Fund of China",
http://dx.doi.org/10.13039/100010720,"AgroFresh",
http://dx.doi.org/10.13039/501100005264,"AgroParisTech",
